"Ajatempel (UTC)";"Kuupäev (Eesti aeg)";"NPS Läti";"NPS Leedu";"NPS Soome";"NPS Eesti"
"1609452000";"01.01.2021 00:00";"24,07";"24,07";"24,07";"24,07"
"1609455600";"01.01.2021 01:00";"24,95";"24,95";"24,95";"24,95"
"1609459200";"01.01.2021 02:00";"24,35";"24,35";"24,35";"24,35"
"1609462800";"01.01.2021 03:00";"23,98";"23,98";"23,98";"23,98"
"1609466400";"01.01.2021 04:00";"23,72";"23,72";"23,72";"23,72"
"1609470000";"01.01.2021 05:00";"23,73";"23,73";"23,73";"23,73"
"1609473600";"01.01.2021 06:00";"24,06";"24,06";"24,06";"24,06"
"1609477200";"01.01.2021 07:00";"24,44";"24,44";"24,44";"24,44"
"1609480800";"01.01.2021 08:00";"24,93";"24,93";"24,93";"24,93"
"1609484400";"01.01.2021 09:00";"24,9";"24,9";"24,9";"24,9"
"1609488000";"01.01.2021 10:00";"25,07";"25,07";"25,07";"25,07"
"1609491600";"01.01.2021 11:00";"30,02";"30,02";"25,63";"30,02"
"1609495200";"01.01.2021 12:00";"37,14";"37,14";"25,92";"37,14"
"1609498800";"01.01.2021 13:00";"39,05";"39,05";"26,13";"39,05"
"1609502400";"01.01.2021 14:00";"40,59";"40,59";"26,57";"40,59"
"1609506000";"01.01.2021 15:00";"40,79";"40,79";"27,3";"40,79"
"1609509600";"01.01.2021 16:00";"45,47";"45,47";"28,61";"45,47"
"1609513200";"01.01.2021 17:00";"51,72";"51,72";"30,25";"51,72"
"1609516800";"01.01.2021 18:00";"55,39";"55,39";"30,19";"55,39"
"1609520400";"01.01.2021 19:00";"53,01";"53,01";"28,82";"53,01"
"1609524000";"01.01.2021 20:00";"55,74";"55,74";"28,25";"55,74"
"1609527600";"01.01.2021 21:00";"54,94";"54,94";"27,32";"54,94"
"1609531200";"01.01.2021 22:00";"50,82";"50,82";"28,25";"50,82"
"1609534800";"01.01.2021 23:00";"45,22";"45,22";"27,01";"45,22"
"1609538400";"02.01.2021 00:00";"25,64";"25,64";"25,64";"25,64"
"1609542000";"02.01.2021 01:00";"25,59";"25,59";"25,59";"25,59"
"1609545600";"02.01.2021 02:00";"24,91";"24,91";"24,91";"24,91"
"1609549200";"02.01.2021 03:00";"24,74";"24,74";"24,74";"24,74"
"1609552800";"02.01.2021 04:00";"24,66";"24,66";"24,66";"24,66"
"1609556400";"02.01.2021 05:00";"24,72";"24,72";"24,72";"24,72"
"1609560000";"02.01.2021 06:00";"24,92";"24,92";"24,92";"24,92"
"1609563600";"02.01.2021 07:00";"30,05";"30,05";"25,62";"30,05"
"1609567200";"02.01.2021 08:00";"26,19";"26,19";"26,19";"26,19"
"1609570800";"02.01.2021 09:00";"43,3";"43,3";"28,02";"43,3"
"1609574400";"02.01.2021 10:00";"47,85";"47,85";"27,65";"47,85"
"1609578000";"02.01.2021 11:00";"50,75";"50,75";"28,83";"50,75"
"1609581600";"02.01.2021 12:00";"50,9";"50,9";"29,76";"50,9"
"1609585200";"02.01.2021 13:00";"53,75";"53,75";"28,62";"53,75"
"1609588800";"02.01.2021 14:00";"50,75";"50,75";"28,72";"50,75"
"1609592400";"02.01.2021 15:00";"49,48";"49,48";"36,73";"49,48"
"1609596000";"02.01.2021 16:00";"52,16";"52,16";"46,05";"52,16"
"1609599600";"02.01.2021 17:00";"58,88";"58,88";"58,88";"58,88"
"1609603200";"02.01.2021 18:00";"60,51";"60,51";"60,51";"60,51"
"1609606800";"02.01.2021 19:00";"61,56";"61,56";"59,84";"61,56"
"1609610400";"02.01.2021 20:00";"56,17";"56,17";"40,15";"56,17"
"1609614000";"02.01.2021 21:00";"55,01";"55,01";"27,38";"55,01"
"1609617600";"02.01.2021 22:00";"52,6";"52,6";"31,15";"52,6"
"1609621200";"02.01.2021 23:00";"47,13";"47,13";"27,91";"47,13"
"1609624800";"03.01.2021 00:00";"39,56";"39,56";"25,94";"39,56"
"1609628400";"03.01.2021 01:00";"25,27";"25,27";"25,27";"25,27"
"1609632000";"03.01.2021 02:00";"24,59";"24,59";"24,59";"24,59"
"1609635600";"03.01.2021 03:00";"23,86";"23,86";"23,86";"23,86"
"1609639200";"03.01.2021 04:00";"23,57";"23,57";"23,57";"23,57"
"1609642800";"03.01.2021 05:00";"23,49";"23,49";"23,49";"23,49"
"1609646400";"03.01.2021 06:00";"23,85";"23,85";"23,85";"23,85"
"1609650000";"03.01.2021 07:00";"24,05";"24,05";"24,05";"24,05"
"1609653600";"03.01.2021 08:00";"24,8";"24,8";"24,8";"24,8"
